"filename", "language", "JavaScript", "HTML", "CSS", "Markdown", "comment", "blank", "total"
"c:\Users\Hp\hodisanmihai.github-io\rentcar\README.md", "Markdown", 0, 0, 0, 1, 0, 0, 1
"c:\Users\Hp\hodisanmihai.github-io\rentcar\about.css", "CSS", 0, 0, 336, 0, 0, 50, 386
"c:\Users\Hp\hodisanmihai.github-io\rentcar\about.html", "HTML", 0, 260, 0, 0, 1, 10, 271
"c:\Users\Hp\hodisanmihai.github-io\rentcar\about.js", "JavaScript", 15, 0, 0, 0, 0, 6, 21
"c:\Users\Hp\hodisanmihai.github-io\rentcar\gallery.css", "CSS", 0, 0, 299, 0, 0, 53, 352
"c:\Users\Hp\hodisanmihai.github-io\rentcar\gallery.html", "HTML", 0, 81, 0, 0, 0, 16, 97
"c:\Users\Hp\hodisanmihai.github-io\rentcar\gallery.js", "JavaScript", 34, 0, 0, 0, 0, 10, 44
"c:\Users\Hp\hodisanmihai.github-io\rentcar\home.css", "CSS", 0, 0, 532, 0, 0, 93, 625
"c:\Users\Hp\hodisanmihai.github-io\rentcar\home.js", "JavaScript", 58, 0, 0, 0, 0, 9, 67
"c:\Users\Hp\hodisanmihai.github-io\rentcar\homepage.html", "HTML", 0, 204, 0, 0, 0, 4, 208
"c:\Users\Hp\hodisanmihai.github-io\rentcar\login.css", "CSS", 0, 0, 347, 0, 0, 52, 399
"c:\Users\Hp\hodisanmihai.github-io\rentcar\login.html", "HTML", 0, 147, 0, 0, 0, 11, 158
"c:\Users\Hp\hodisanmihai.github-io\rentcar\login.js", "JavaScript", 68, 0, 0, 0, 0, 16, 84
"Total", "-", 175, 692, 1514, 1, 1, 330, 2713
