"filename", "language", "CSS", "JavaScript", "HTML", "comment", "blank", "total"
"c:\Users\Hp\hodisanmihai.github-io\rentcar\580.html", "HTML", 0, 0, 129, 0, 11, 140
"c:\Users\Hp\hodisanmihai.github-io\rentcar\740.html", "HTML", 0, 0, 129, 0, 11, 140
"c:\Users\Hp\hodisanmihai.github-io\rentcar\car.css", "CSS", 665, 0, 0, 0, 113, 778
"c:\Users\Hp\hodisanmihai.github-io\rentcar\car.js", "JavaScript", 0, 88, 0, 0, 29, 117
"c:\Users\Hp\hodisanmihai.github-io\rentcar\home.css", "CSS", 1, 0, 0, 0, 0, 1
"c:\Users\Hp\hodisanmihai.github-io\rentcar\m2.html", "HTML", 0, 0, 129, 0, 11, 140
"c:\Users\Hp\hodisanmihai.github-io\rentcar\m4.html", "HTML", 0, 0, 129, 0, 11, 140
"c:\Users\Hp\hodisanmihai.github-io\rentcar\polo.html", "HTML", 0, 0, 129, 0, 11, 140
"c:\Users\Hp\hodisanmihai.github-io\rentcar\yaris.html", "HTML", 0, 0, 129, 0, 11, 140
"Total", "-", 666, 88, 774, 0, 208, 1736
