"filename", "language", "CSS", "JavaScript", "HTML", "Markdown", "comment", "blank", "total"
"c:\Users\Hp\hodisanmihai.github-io\rentcar\580.html", "HTML", 0, 0, 129, 0, 0, 11, 140
"c:\Users\Hp\hodisanmihai.github-io\rentcar\740.html", "HTML", 0, 0, 129, 0, 0, 11, 140
"c:\Users\Hp\hodisanmihai.github-io\rentcar\README.md", "Markdown", 0, 0, 0, 1, 0, 0, 1
"c:\Users\Hp\hodisanmihai.github-io\rentcar\about.css", "CSS", 336, 0, 0, 0, 0, 50, 386
"c:\Users\Hp\hodisanmihai.github-io\rentcar\about.html", "HTML", 0, 0, 260, 0, 1, 10, 271
"c:\Users\Hp\hodisanmihai.github-io\rentcar\about.js", "JavaScript", 0, 15, 0, 0, 0, 6, 21
"c:\Users\Hp\hodisanmihai.github-io\rentcar\car.css", "CSS", 665, 0, 0, 0, 0, 113, 778
"c:\Users\Hp\hodisanmihai.github-io\rentcar\car.js", "JavaScript", 0, 88, 0, 0, 0, 29, 117
"c:\Users\Hp\hodisanmihai.github-io\rentcar\gallery.css", "CSS", 299, 0, 0, 0, 0, 53, 352
"c:\Users\Hp\hodisanmihai.github-io\rentcar\gallery.html", "HTML", 0, 0, 81, 0, 0, 16, 97
"c:\Users\Hp\hodisanmihai.github-io\rentcar\gallery.js", "JavaScript", 0, 34, 0, 0, 0, 10, 44
"c:\Users\Hp\hodisanmihai.github-io\rentcar\home.css", "CSS", 533, 0, 0, 0, 0, 93, 626
"c:\Users\Hp\hodisanmihai.github-io\rentcar\home.js", "JavaScript", 0, 58, 0, 0, 0, 9, 67
"c:\Users\Hp\hodisanmihai.github-io\rentcar\homepage.html", "HTML", 0, 0, 204, 0, 0, 4, 208
"c:\Users\Hp\hodisanmihai.github-io\rentcar\login.css", "CSS", 347, 0, 0, 0, 0, 52, 399
"c:\Users\Hp\hodisanmihai.github-io\rentcar\login.html", "HTML", 0, 0, 147, 0, 0, 11, 158
"c:\Users\Hp\hodisanmihai.github-io\rentcar\login.js", "JavaScript", 0, 68, 0, 0, 0, 16, 84
"c:\Users\Hp\hodisanmihai.github-io\rentcar\m2.html", "HTML", 0, 0, 129, 0, 0, 11, 140
"c:\Users\Hp\hodisanmihai.github-io\rentcar\m4.html", "HTML", 0, 0, 129, 0, 0, 11, 140
"c:\Users\Hp\hodisanmihai.github-io\rentcar\polo.html", "HTML", 0, 0, 129, 0, 0, 11, 140
"c:\Users\Hp\hodisanmihai.github-io\rentcar\yaris.html", "HTML", 0, 0, 129, 0, 0, 11, 140
"Total", "-", 2180, 263, 1466, 1, 1, 538, 4449
